((28.869626814698563, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.869726814698563, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.869826814698563, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.869926814698562, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.870026814698562, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.870126814698562, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.870226814698562, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.870326814698561, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.870426814698561, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.870526814698561, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.870626814698561, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.870726814698561, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.87082681469856, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.87092681469856, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.87102681469856, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.87112681469856, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.871226814698559, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.871326814698559, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.871426814698559, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.871526814698559, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.871626814698558, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.871726814698558, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.871826814698558, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.871926814698558, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.872026814698557, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.872126814698557, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.872226814698557, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.872326814698557, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
